gene_column	gene_symbol	entrez_id	annotated	complete_in_primary_tumors	total_expression	passes_total_expression	log2_variance	retained_for_expression	retained_for_dimred
INPP5J|27124	INPP5J	27124	True	True	62574.09564623883	True	1.084773870451144	True	True
INPP5K|51763	INPP5K	51763	True	True	263948.4757192969	True	0.2554977710934126	True	False
INPPL1|3636	INPPL1	3636	True	True	870975.1032456073	True	0.29863263731180223	True	False
INS|3630	INS	3630	True	False		False		False	False
INSC|387755	INSC	387755	True	True	8041.703531332652	True	3.528956998739319	True	True
INSIG1|3638	INSIG1	3638	True	True	594604.8741595156	True	0.759535667376198	True	True
INSIG2|51141	INSIG2	51141	True	True	253622.60285236515	True	0.3151259400914386	True	False
INS-IGF2|723961	INS-IGF2	723961	True	False		False		False	False
INSL3|3640	INSL3	3640	True	True	3007.571002309002	True	0.7843208184311709	True	True
INSL4|3641	INSL4	3641	True	False		False		False	False
INSL5|10022	INSL5	10022	True	False		False		False	False
INSL6|11172	INSL6	11172	True	True	688.4903968997774	True	0.9844187242619017	True	True
INSM1|3642	INSM1	3642	True	False		False		False	False
INSM2|84684	INSM2	84684	True	False		False		False	False
INSR|3643	INSR	3643	True	True	953371.6943278278	True	0.3840454105513418	True	False
INSRR|3645	INSRR	3645	True	True	1162.4221822200154	True	1.3961324517342928	True	True
INTS10|55174	INTS10	55174	True	True	561833.2043754858	True	0.3786230212397837	True	False
INTS12|57117	INTS12	57117	True	True	159114.51572128924	True	0.21130020620454232	True	False
INTS1|26173	INTS1	26173	True	True	1245468.7821433241	True	0.30244619387735366	True	False
INTS2|57508	INTS2	57508	True	True	193474.2926966874	True	0.34797904126996976	True	False
INTS3|65123	INTS3	65123	True	True	729525.9566587575	True	0.22687644371953833	True	False
INTS4|92105	INTS4	92105	True	True	242637.8398019626	True	0.2103314904684272	True	False
INTS4L1|285905	INTS4L1	285905	True	True	14586.92109340924	True	1.7228461076950279	True	True
INTS4L2|644619	INTS4L2	644619	True	True	5997.902179224828	True	1.4203407607015974	True	True
INTS5|80789	INTS5	80789	True	True	272536.59477740887	True	0.16825822001176136	True	False
INTS6|26512	INTS6	26512	True	True	364165.8273535009	True	0.21769861351154332	True	False
INTS7|25896	INTS7	25896	True	True	242788.95147742197	True	0.27735600631486274	True	False
INTS8|55656	INTS8	55656	True	True	463041.0052315589	True	0.35402109118800595	True	False
INTS9|55756	INTS9	55756	True	True	180360.53345239244	True	0.25282096382999103	True	False
INTU|27152	INTU	27152	True	True	28620.7629869121	True	1.0368373122334	True	True
INVS|27130	INVS	27130	True	True	109577.10294529988	True	0.2528467905281375	True	False
